tube_id,panel,type,tip_x,tip_y,tip_z,csv_x,csv_y,csv_z,offset_mm,n_verts,reliability,found
332,0,LUX,513.66,529.45,527.74,472.16,541.42,430.54,106.4,9169,1.000,1
333,0,LUX,277.28,-65.67,442.76,258.38,23.45,430.54,91.9,8561,0.648,1
334,0,LUX,730.80,154.04,406.13,782.48,137.21,430.54,59.6,7052,0.734,1
335,0,LUX,434.22,414.27,456.61,365.27,282.44,430.54,151.0,11202,1.000,1
336,0,LUX,696.07,-37.09,473.06,675.59,-121.77,439.25,93.5,9935,0.942,1
337,0,LUX,-488.70,643.29,495.88,-474.98,646.94,430.54,66.9,9325,1.000,1
338,0,LUX,-232.31,247.75,388.82,-162.62,192.28,430.54,98.4,7136,0.909,1
339,0,LUX,152.17,808.33,530.81,51.17,710.24,430.54,172.9,9419,1.000,1
340,0,LUX,-626.29,399.96,515.80,-581.88,387.96,433.87,94.0,10648,1.000,1
341,0,LUX,-81.74,652.73,511.15,-55.72,451.26,430.54,218.5,11128,1.000,1
342,0,LUX,443.60,-600.55,491.91,467.32,-636.40,428.81,76.4,9544,1.000,1
343,0,LUX,133.59,-550.96,469.81,44.59,-494.51,430.54,112.5,11214,1.000,1
344,0,LUX,273.23,-76.50,445.30,151.48,-235.53,430.54,200.8,6348,1.000,1
345,0,LUX,-110.86,-750.23,524.67,-62.30,-753.49,425.81,110.2,9078,1.000,1
346,0,LUX,610.18,-399.70,510.63,574.21,-377.42,430.54,90.6,9015,1.000,1
347,0,LUX,-345.64,-90.94,377.86,-269.51,-66.70,430.54,95.7,9963,0.874,1
348,0,LUX,-800.56,218.46,791.47,-694.23,125.77,430.54,387.5,10597,1.000,1
349,0,LUX,-481.50,-412.21,511.33,-376.40,-325.69,430.54,158.3,8895,1.000,1
350,0,LUX,-774.59,-124.82,528.19,-801.12,-133.21,439.56,92.9,6536,1.000,1
351,0,LUX,-599.96,-779.64,758.62,-483.30,-584.67,430.54,399.1,7730,1.000,1
352,9,ETEL,-167.01,804.97,3328.54,-171.30,811.76,3453.15,124.9,2372,1.000,1
353,9,ETEL,701.62,450.45,3317.69,693.96,450.10,3454.56,137.1,5425,1.000,1
354,9,ETEL,-714.28,497.16,3517.21,-688.69,437.61,3459.69,86.7,1687,0.455,1
355,9,ETEL,381.48,769.27,3354.54,179.89,814.83,3458.14,231.2,3148,1.000,1
356,9,ETEL,459.69,697.61,3308.90,445.22,700.25,3458.89,150.7,3516,1.000,1
357,9,ETEL,815.25,181.61,3317.45,805.94,186.11,3454.56,137.5,5152,1.000,1
358,9,ETEL,839.80,67.91,3350.19,810.31,-166.06,3454.56,257.9,4345,1.000,1
359,9,ETEL,305.62,-794.23,3357.32,450.85,-693.48,3454.56,201.7,7019,1.000,1
360,9,ETEL,671.66,-401.51,3491.10,688.00,-436.39,3459.14,50.0,3799,0.380,1
361,9,ETEL,-348.55,-739.59,3363.44,-187.35,-811.14,3457.62,199.9,2940,1.000,1
362,9,ETEL,-683.94,-447.38,3324.66,-697.77,-444.17,3454.56,130.7,3354,1.000,1
363,9,ETEL,172.27,-797.51,3312.12,170.31,-815.36,3456.63,145.6,6203,1.000,1
364,9,ETEL,-660.89,-170.75,3389.39,-280.09,-93.28,3454.56,394.0,422,0.827,1
365,9,ETEL,-798.01,-142.51,3306.44,-808.72,-173.62,3454.56,151.7,2470,1.000,1
366,9,ETEL,-813.77,-59.55,3347.46,-807.64,178.58,3454.56,261.2,1818,1.000,1
367,9,ETEL,-452.82,-681.70,3318.82,-451.29,-696.62,3456.52,138.5,2657,1.000,1
368,9,ETEL,276.15,-576.42,3526.81,116.73,-266.89,3454.56,355.6,291,0.261,1
369,9,ETEL,-261.64,800.95,3361.84,-450.29,693.84,3454.56,235.9,2745,1.000,1
370,9,ETEL,-298.18,577.14,3538.85,-90.04,287.66,3454.56,366.4,93,0.171,1
371,9,ETEL,579.01,310.01,3472.11,274.45,113.49,3454.56,362.9,331,0.437,1
372,7,Hamamatsu,-1190.74,129.10,2947.88,-1128.91,188.66,2583.54,374.3,668,0.256,1
373,6,Hamamatsu,-946.35,-760.72,2943.00,-923.28,-676.86,2582.14,371.2,279,0.165,1
374,7,Hamamatsu,-1044.51,172.46,1293.74,-1128.49,188.30,1296.55,85.5,3720,1.000,1
375,7,Hamamatsu,-1288.31,-126.69,2525.23,-1126.98,-169.25,2583.54,176.7,555,0.222,1
376,7,Hamamatsu,-1042.55,-158.11,1707.26,-1126.98,-169.25,1711.56,85.3,1343,1.000,1
377,7,Hamamatsu,-1027.87,192.51,1712.23,-1129.33,189.02,1719.41,101.8,1546,1.000,1
378,6,Hamamatsu,-855.05,-619.66,1725.01,-923.80,-676.42,1723.11,89.2,2242,1.000,1
379,6,Hamamatsu,-854.99,-622.35,1293.06,-922.76,-677.31,1299.97,87.5,2369,1.000,1
380,6,Hamamatsu,-740.77,-967.65,2198.87,-674.05,-927.19,2582.14,391.1,170,0.150,1
381,6,Hamamatsu,-608.28,-845.94,1712.42,-674.05,-927.19,1714.40,104.6,3111,1.000,1
382,6,Watchman,-764.27,-925.83,2175.98,-649.83,-863.56,2134.53,136.7,2028,0.601,1
383,5,Hamamatsu,176.70,-1037.01,2579.40,180.35,-1136.46,2583.65,99.6,1731,1.000,1
384,4,Hamamatsu,906.88,-541.34,2874.02,925.86,-672.73,2586.76,316.5,489,0.970,1
385,4,Hamamatsu,608.09,-825.71,1258.98,672.39,-934.32,1299.32,132.5,2365,1.000,1
386,4,Hamamatsu,813.62,-1020.85,2515.88,673.60,-932.39,2584.50,179.3,395,0.142,1
387,5,Hamamatsu,162.90,-1037.52,1719.35,180.35,-1136.46,1724.38,100.6,1322,1.000,1
388,4,Hamamatsu,613.08,-849.65,1719.04,674.82,-930.46,1731.45,102.5,1438,1.000,1
389,5,Hamamatsu,-141.63,-1005.30,2835.64,-170.63,-1137.15,2583.65,285.9,1235,1.000,1
390,5,Hamamatsu,-160.72,-1038.59,1708.02,-172.11,-1136.98,1714.30,99.2,1401,1.000,1
391,4,Hamamatsu,852.05,-614.98,1717.74,925.18,-677.74,1729.87,97.1,962,1.000,1
392,5,Hamamatsu,-161.48,-1039.89,1284.05,-169.14,-1137.32,1294.39,98.3,1239,1.000,1
393,4,Watchman,763.46,-584.50,2114.64,858.23,-650.09,2137.55,117.5,1335,1.000,1
394,3,Hamamatsu,1044.29,-159.43,1714.31,1129.30,-169.66,1721.36,85.9,1988,1.000,1
395,2,Hamamatsu,851.81,612.92,1266.53,931.96,664.30,1287.97,97.6,1059,1.000,1
396,2,Hamamatsu,856.16,618.06,1698.38,932.10,669.27,1710.61,92.4,1432,1.000,1
397,2,Hamamatsu,992.18,831.52,2548.17,932.03,666.79,2582.28,178.7,677,0.299,1
398,3,Hamamatsu,1308.69,145.45,2505.33,1132.09,175.14,2582.69,195.1,369,0.002,1
399,3,Hamamatsu,1037.70,-167.59,1288.92,1130.90,-179.91,1296.44,94.3,2673,1.000,1
400,2,Hamamatsu,821.66,1014.47,2577.34,681.16,916.66,2582.28,171.3,689,0.000,1
401,3,Hamamatsu,1041.53,157.11,1710.39,1132.09,175.14,1716.91,92.6,2052,1.000,1
402,2,Hamamatsu,616.49,860.11,1714.95,681.16,916.66,1715.17,85.9,1627,1.000,1
403,3,Hamamatsu,1175.91,-216.92,2888.86,1130.10,-174.78,2582.69,312.4,1764,0.274,1
404,2,Watchman,731.67,964.86,2043.73,647.38,863.55,2134.71,160.1,981,0.539,1
405,8,Watchman,-771.93,581.15,2131.24,-863.07,646.69,2134.89,112.3,1574,1.000,1
406,8,Hamamatsu,-618.35,859.15,1715.84,-679.70,926.90,1725.09,91.9,1026,1.000,1
407,8,Hamamatsu,-835.56,621.81,1696.88,-925.76,671.47,1722.38,106.1,805,1.000,1
408,1,Hamamatsu,161.82,1047.17,1258.45,174.83,1128.62,1263.52,82.6,2138,1.000,1
409,1,Hamamatsu,149.19,1050.38,1713.82,163.47,1130.40,1712.46,81.3,967,1.000,1
410,1,Hamamatsu,-132.97,1230.28,2924.43,-178.82,1134.56,2582.04,358.5,276,0.068,1
411,1,Hamamatsu,144.04,1343.03,2559.22,169.15,1129.51,2582.04,216.2,279,0.017,1
412,1,Hamamatsu,-163.53,1045.73,1717.75,-178.82,1134.56,1715.97,90.2,942,1.000,1
413,8,Hamamatsu,-1060.29,760.30,2521.09,-925.76,671.47,2582.42,172.5,699,0.159,1
414,8,Hamamatsu,-609.80,857.93,1282.45,-669.49,929.67,1287.51,93.5,1747,1.000,1
415,8,Hamamatsu,-748.79,1079.77,2594.13,-674.60,928.29,2582.42,169.1,581,0.044,1
416,3,Watchboy,845.08,177.78,3317.90,1066.58,146.24,2987.94,398.7,1559,1.000,1
417,2,Watchboy,748.03,569.33,807.86,869.45,636.95,839.12,142.5,1225,1.000,1
418,3,Watchboy,943.59,-121.19,831.65,1066.01,-138.83,832.26,123.7,1360,1.000,1
419,3,Watchboy,951.10,121.73,1262.58,1065.49,137.74,1267.17,115.6,2957,1.000,1
420,2,Watchboy,578.53,777.20,1256.38,647.38,863.55,1264.85,110.8,503,1.000,1
421,3,Watchboy,1228.41,-128.20,2156.65,1066.01,-138.83,2138.24,163.8,957,0.557,1
422,3,Watchboy,1171.15,-204.96,2901.95,1066.01,-138.83,2987.94,151.1,1586,0.000,1
